级	1
批	2
新	3
决	4
线	5
程	6
员	7
量	8
外	9
源	10
作	11
起	12
称	13
管	14
有	15
密	16
们	17
能	18
现	19
核	20
帮	21
你	22
中	23
统	24
职	25
范	26
行	27
顶	28
到	29
单	30
提	31
不	32
添	33
服	34
错	35
特	36
使	37
可	38
的	39
张	40
才	41
步	42
对	43
产	44
<PAD>	0
册	45
联	46
解	47
系	48
出	49
门	50
查	51
些	52
需	53
急	54
忙	55
客	56
入	57
名	58
只	59
但	60
变	61
自	62
售	63
据	64
没	65
见	66
网	67
建	68
问	69
操	70
限	71
<UNK>	227
工	72
法	73
在	74
某	75
原	76
记	77
生	78
数	79
持	80
境	81
关	82
助	83
以	84
己	85
理	86
应	87
额	88
两	89
走	90
件	91
一	92
公	93
我	94
置	95
址	96
权	97
么	98
和	99
教	100
口	101
等	102
填	103
好	104
间	105
规	106
怎	107
打	108
码	109
多	110
审	111
是	112
内	113
询	114
命	115
更	116
发	117
制	118
否	119
样	120
测	121
<ENG>	122
改	123
转	124
销	125
示	126
配	127
修	128
请	129
档	130
里	131
角	132
因	133
动	134
位	135
效	136
呢	137
录	138
登	139
创	140
哪	141
道	142
接	143
下	144
被	145
何	146
如	147
号	148
台	149
重	150
该	151
后	152
处	153
经	154
咨	155
白	156
部	157
申	158
保	159
空	160
啊	161
面	162
钟	163
分	164
岗	165
知	166
上	167
吗	168
候	169
已	170
什	171
账	172
共	173
找	174
会	175
进	176
注	177
人	178
云	179
色	180
要	181
资	182
为	183
这	184
忘	185
非	186
开	187
题	188
菜	189
协	190
个	191
做	192
环	193
地	194
访	195
宿	196
想	197
代	198
子	199
所	200
功	201
支	202
还	203
品	204
谢	205
用	206
文	207
通	208
办	209
增	210
别	211
谁	212
写	213
流	214
告	215
组	216
去	217
户	218
殊	219
加	220
了	221
试	222
输	223
看	224
时	225
果	226
